																								
						For internal use only, DO NOT SHARE!																		
		Saturday				No Event/Break	Event Draft	Locked/Pending Event	Locked event															
		December 17																						
Times = EST	VRC Staff	Event Name	End Time	Event Details	Marketing Details	Event Host Prefered Contact	Event Host VRChat UserName	Additional Hosts	Type of Event	How Long will the event run for?	Previous Examples of work?	Links	World they will be using?	What they will need from VRCon	Are they ok with their event being streamed?	Stream Link	Stream Notes	VRCon Staff Member Overseeing this event	Number of Volunteers needed for the event	Volunteers for this event	How to join?/Bot	VIP List (Who the host wants in the instance)	Event Image Link	Anything Else
12:00 AM 																								
1:00 AM 																								
2:00 AM 																								
3:00 AM 																								
4:00 AM 																								
5:00 AM 																								
6:00 AM 																								
7:00 AM 																								
8:00 AM 																								
9:00 AM 		Avatar PVP Showcase	1	This Event will be mainly about the sneak peak of the New avatar PVP which will give detail on some news things which include a Health bar system,Vehicles,Voice transfer(Walkie Talkies), Buffs/Debuffs, Jump Pads/Shields as well as the basic kill particles for ranged as well as melee. There is also a video that explains a lot more information which i'll link to whom is reading right now https://www.youtube.com/watch?v=NJozWzYOzsM&t=20s	I dont think I'll provide a short description for marketing but there is a YouTube Video that has news for the Warhammer 40k PvP I'll link it down as an example https://www.youtube.com/watch?v=KnUlBxkQhL4 Skip to 9:28 as it more Commercial themed. 	Citrus0range#9554	Citrus 	LebenderPanzer GoFluffYaself TheFlyingFlapjack Bruva Det	Class/Workshop	1 1/2 Hour	https://www.youtube.com/watch?v=NJozWzYOzsM&t=20s	https://www.youtube.com/watch?v=NJozWzYOzsM&t=20s	https://vrchat.com/home/world/wrld_8385d85b-14c9-4283-aa9c-0b2728a643af	Nothing Important at the moment so all goods there	TRUE	https://twitch.tv/VRConLive	2 Cam, 1 show							Nope nothing as off importance at the moment but if you need a chat DM me. I'm in the NZST Timezone so I Picked both Morning and Afternoon
10:00 AM 																								
11:00 AM		Introduction to VRChat Roleplay 	1	I will mainly be moving the panel along and picking out audience members to question the four of us but what this is about on what is VRC Roleplay, what it has impacted these individual, how they get involved and how can anyone join.	What is VRChat Roleplay? Join us in our talk as we explain and go over on what it is and how to get involve as well as learn from our stories thay we will be bringing to you!	Satchi#7124	Satchi 	*Yuna*, Artleck, Meathamski	Panel/Talk	1 Hour	Yes, did it for the past two VRCons	N/A	Yes	N/A	TRUE	https://twitch.tv/satchivr	NO Media, 2 - 4 cams							I do want to run an actual event like we did previously. Where we hosted a lobby for people to see how the Social RP lobby goes but I do understand that you may have a full schedule but if you don't let me know. I would happily run it again.
12:00 PM 																								
1:00 PM 		Mental Health & VRC	1	In this panel, I'll be discussing how VRC can impede or affect mental health-- including the appeal of the game to neurodivergent people. We'll also touch base on how VRC affects substance abuse. Why do second life games appeal to the escapist in all of us? What drives the mind to relish the versatility VRChat provides?	VRChat is a platform that appeals to many users-- but there are a significant number who are neruodivergent. Why do those with 'special needs' find this game so appealing? Join us for a deep dive into mental health and how it correlates to VRChat.	nerdynanny	nerdynanny	None	Panel/Talk	1 Hour	None	https://www.twitch.tv/nerdynanny	VRCon Provided	None	TRUE	https://www.twitch.tv/nerdynanny	NO Media. 1-2 cams							I can do the panel anywhere from 30 mins to an hour. It'll be relatively short.
2:00 PM 																								
3:00 PM 		Skits'n'Bits Improv Show	2	In the show preselected improvisers will do a series of improv games in front of an audience, audience will be involved for suggestions (locations, actions, etc) for the games	We're not really doing anything else. To focus on the improv, we cover a wide selection of topics and themes. We're also a hub to find other people to collaborate on skits, improv and projects.	SwitzerLad#007	SwitzerLad	ZircronSwift, WalGesicht	Theatre/Live Performance	1 1/2 Hours	Yes		Skits'n'Bits Improv Theatre	None	TRUE	https://twitch.tv/VRConLive	2 - 4 Cam. 1 show							World is WIP but will get released before the event
4:00 PM 																								
5:00 PM 																								
6:00 PM 		VRCon Film Festival	2												TRUE		1 stagecaster, 1 showrunner, 2 camera, wolveeps							
7:00 PM 																								
8:00 PM 																								
9:00 PM 		VRCon After Party	3	Vrcon 3-add for afterparty													Recominded Private VCDN stream do to copyright issues							
10:00 PM 																								
11:00 PM																								
